time,layer_name,a,h,stress_theta,stress_z,rho,pressure,flow_rate,wss
0,artery,0.001,0.00012988938837933385,114652.20857244727,45891.678467305275,1050.0,14892.105247814994,1e-06,5.092958178940651
1.0,artery,0.00104237059557666,0.00012518517974847025,186000.4801643723,46391.54954824531,1060.237346555201,22338.15787172249,1e-06,4.496800852394848
2.0,artery,0.0010424346041447757,0.00012633279412310635,184321.19679136277,45824.52153522188,1080.2084233587254,22338.15787172249,1e-06,4.495972552636661
3.0,artery,0.0010419031331700714,0.00012864006127043465,180924.99897397836,44739.090202469524,1099.8638977931867,22338.15787172249,1e-06,4.502856200195762
4.0,artery,0.0010413803077960416,0.00013090844788397866,177701.48291451845,43705.41789587153,1118.8905700148666,22338.15787172249,1e-06,4.5096415875935625
5.0,artery,0.001040887488255119,0.00013310051001914173,174694.79551675715,42735.9654666305,1137.2854431258138,22338.15787172249,1e-06,4.51605003786214
6.0,artery,0.0010404191931159218,0.00013521670541158888,171875.93437285896,41826.35042758765,1155.0557964363888,22338.15787172249,1e-06,4.522150837427346
7.0,artery,0.0010399856591440653,0.00013725684146014677,169251.65206717182,40972.34789099801,1172.2123532874073,22338.15787172249,1e-06,4.527808579081383
8.0,artery,0.0010395808508847904,0.00013922295987441098,166794.8824539941,40169.831462626375,1188.7685796732917,22338.15787172249,1e-06,4.533099965859164
9.0,artery,0.0010392112455785854,0.00014111593940042562,164506.64689686487,39415.11238465003,1204.7395586889934,22338.15787172249,1e-06,4.537938405890846
10.0,artery,0.0010388647454492017,0.00014293903825003814,162350.8691426501,38704.570640190126,1220.1395325012,22338.15787172249,1e-06,4.542480635558626
11.0,artery,0.0010385493565688213,0.00014469301789685974,160334.40148316536,38035.20003992958,1234.982603197155,22338.15787172249,1e-06,4.546620303027491
12.0,artery,0.001038262806216696,0.00014637984100662288,158443.87430318753,37404.15890943972,1249.2856399074935,22338.15787172249,1e-06,4.550385809922135
13.0,artery,0.0010380014883820902,0.00014800194616761627,156664.4666202496,36808.72531195064,1263.0643858996377,22338.15787172249,1e-06,4.553823366692035
14.0,artery,0.0010377705302613456,0.0001495605534116301,154999.36448094682,36246.56576543843,1276.3359177519899,22338.15787172249,1e-06,4.556864433694633
15.0,artery,0.0010375650475189636,0.00015105826945039253,153432.85788232012,35715.36559840808,1289.1179813135764,22338.15787172249,1e-06,4.559572338478489
16.0,artery,0.0010373845272937604,0.0001524972269394907,151958.5672050264,35213.021806764824,1301.4271197631515,22338.15787172249,1e-06,4.561953051442802
17.0,artery,0.0010372267173309965,0.00015387964231621708,150567.47707790593,34737.61699813675,1313.2794301432643,22338.15787172249,1e-06,4.56403561787099
18.0,artery,0.0010370963939868507,0.0001552067676263981,149264.19568947953,34287.4865666559,1324.6924039311489,22338.15787172249,1e-06,4.565756408150728
19.0,artery,0.0010369871159693496,0.00015648145279996179,148032.82790866948,33860.8901511799,1335.6832781283815,22338.15787172249,1e-06,4.567199982658889
20.0,artery,0.00103690019580619,0.0001577055115273966,146872.41712489468,33456.31575978571,1346.2679498390776,22338.15787172249,1e-06,4.568348642041852
21.0,artery,0.0010368358765124738,0.00015888073875904105,145780.30907999867,33072.38843641085,1356.4631550249073,22338.15787172249,1e-06,4.569198876469983
22.0,artery,0.0010367865901477087,0.00016001005792480252,144740.20018880116,32707.685724073628,1366.2833024188635,22338.15787172249,1e-06,4.569850533938125
23.0,artery,0.0010367592218843238,0.0001610942093814818,143762.11408718373,32361.14731161057,1375.742931825975,22338.15787172249,1e-06,4.570212446825861
24.0,artery,0.0010367500829346296,0.00016213534965997994,142837.26155827273,32031.633335763698,1384.8578219552696,22338.15787172249,1e-06,4.570333307129153
25.0,artery,0.0010367581629152427,0.0001631354120246565,141961.9367701681,31718.06181682805,1393.642328043922,22338.15787172249,1e-06,4.570226451206415
26.0,artery,0.0010367825144271979,0.00016409616116116142,141132.78104494812,31419.459187069056,1402.110275476606,22338.15787172249,1e-06,4.569904428095807
27.0,artery,0.0010368281139074534,0.0001650184868790987,140356.8051078538,31135.005085729128,1410.277094886705,22338.15787172249,1e-06,4.569301504334371
28.0,artery,0.0010368821977648692,0.00016590588364207988,139610.58131841008,30863.621711790427,1418.1554396855074,22338.15787172249,1e-06,4.568586536245256
29.0,artery,0.0010369515396214965,0.00016675886107961482,138904.66519467317,30604.642239170258,1425.7561243044197,22338.15787172249,1e-06,4.5676700813966615
